,area,living,layout,floor,allfloor,price
2,60.0,"depart,advstore,market,park,school,hospital",4房2廳2衛,7,7,"65,000"
3,38.0,"advstore,market,park,school,hospital",3房2廳2衛,10,14,"48,000"
4,47.0,"depart,advstore,market,park,school,hospital",2房2廳2衛,4,12,"70,000"
5,57.1,"depart,advstore,market,night,park,school,hospital",3房3廳3衛,5,7,"85,000"
6,42.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,7,12,"50,000"
7,68.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,13,15,"130,000"
8,23.3,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,6,13,"45,000"
9,11.8,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,7,14,"25,000"
10,26.0,"advstore,market,night,park,school",2房1廳1衛,3,4,"30,000"
11,20.0,,2房1廳1衛,4,4,"22,800"
12,43.1,"depart,advstore,market,park,school,hospital",2房2廳2衛,12,14,"39,800"
13,20.0,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,5,5,"25,000"
14,48.5,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,3,7,"66,000"
15,22.6,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,4,10,"30,000"
16,39.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,11,17,"50,000"
17,52.0,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,4,12,"70,000"
18,28.2,"park,school",3房2廳1衛,2,25,"42,000"
19,41.6,"advstore,park,school,hospital",4房2廳2衛,7,12,"50,000"
20,20.0,"advstore,school",3房0廳1衛,2,5,"19,900"
21,40.0,"depart,advstore,park,school",4房2廳2衛,4,4,"43,500"
22,26.0,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,2,5,"34,800"
23,35.0,"depart,advstore,market,night,park,school,hospital",3房2廳1衛,4,5,"35,000"
24,60.7,"advstore,market,park,school",3房2廳2衛,6,18,"128,000"
25,38.3,"advstore,market,park,school",3房2廳2衛,11,17,"50,000"
26,60.2,"depart,advstore,park,school",4房2廳2衛,7,19,"70,000"
27,43.0,"depart,advstore,market,park,school",3房2廳2衛,10,14,"54,000"
28,72.0,"advstore,market,park,school",2房2廳4衛,6,7,"88,000"
29,28.2,"advstore,park,school,hospital",3房2廳1衛,2,25,"48,000"
0,37.8,"advstore,market,park,school",3房2廳2衛,6,11,"79,000"
